business_id,age_years,employees,annual_revenue,net_profit,ebitda,cibil_score,promoter_cibil,udyam_registered,gst_compliant,fixed_assets,inventory_value,total_assets,valuation,existing_debt,interest_expense,principal_repayment,requested_amount,approved,mis_status
MSME_0000,7,180,734.6740023932911,93.8608684851786,149.237326602895,630,802,0,1,528.7490579550981,161.7921145545438,800.7422728686356,1697.9694663328296,86.66737718617249,15.339344474284635,8.666737718617249,330.4069904825642,0,0
MSME_0001,6,130,191.5704647548995,14.322498313827696,27.429480342711443,860,818,1,1,108.641858993138,24.501627218603318,161.87905592497626,255.73459697791114,39.91042932022439,5.0130292326349375,3.991042932022439,83.43905010251028,1,1
MSME_0002,25,131,683.5044632019019,69.0953741542922,106.11527963333918,313,841,0,1,294.7612324470003,70.53304725081493,467.8199491781005,701.8056981122388,91.88460342457677,13.62890802014195,9.188460342457677,261.78152408017974,0,0
MSME_0003,8,175,397.1500014975084,20.9705112867774,47.38171268796005,865,705,1,1,214.7073119258091,42.202214978874245,316.4820271293096,726.3168233043439,88.58384264839069,10.587100044717172,8.858384264839069,189.8367712808071,1,1
MSME_0004,14,215,961.5603041058556,165.40384646739446,221.97846098754724,516,787,1,1,505.4130672763925,123.25745853510851,772.9045714273793,1733.5137134059055,100.33867046391735,17.929385948783807,10.033867046391736,415.0800353838862,0,0
MSME_0005,12,136,817.3068141702859,120.33561456253963,183.12594149459485,789,830,1,1,482.73917652953327,231.29123691962175,836.6264355746979,1928.4658917580825,234.07156974582585,20.959005153320337,23.407156974582588,254.38304813616477,1,1
MSME_0006,12,104,565.6309915892241,50.29977524895126,81.2058015085303,304,817,1,1,193.21442881246804,85.53113502253784,363.5902125733895,455.41988972806587,139.71504970888884,12.726515630909557,13.971504970888885,187.67690067534778,0,0
MSME_0007,19,63,480.61652095029064,58.34184865212924,97.7843787836401,530,836,1,1,251.7972324905092,67.58056796941506,391.4702786024679,949.5932292549253,132.92224026491243,19.869016201387463,13.292224026491244,223.07352106889823,0,0
MSME_0008,10,45,114.4393172319679,11.692977161633076,19.952236425435217,630,727,1,1,78.32960348398332,31.953547031347014,127.44904810012552,205.6268699511556,18.355310019068256,1.8868068587958657,1.8355310019068256,37.551240560846914,1,1
MSME_0009,7,198,423.2368931172912,25.385497397674712,77.34859118010597,673,759,0,1,216.39017717848827,101.83240130479867,381.7081124508806,638.4902148431606,186.54565304868945,32.87768815988723,18.654565304868946,116.61644561157797,0,0
MSME_0010,2,131,291.9920894336929,7.778567218232378,24.192257965002014,865,686,1,1,107.21595587019397,82.24049970431878,233.25526898956667,352.549118008806,36.84452384489551,4.750927297291301,3.6844523844895516,144.73905855084536,1,1
MSME_0011,11,184,730.934185125741,63.00723129759996,142.0464496968454,810,839,1,1,496.3094830529627,95.12633954907895,701.0759503709028,1304.4628629401618,265.2346449575554,43.985420880700296,26.523464495755544,217.66318905261366,1,1
MSME_0012,19,148,182.62276471494152,26.36502809036773,49.830707895329695,772,777,1,1,137.84661599356465,50.30670413302491,215.54673483383078,330.9341001218399,78.45763594941826,12.688343063270421,7.845763594941826,66.94224509887027,1,1
MSME_0013,16,140,883.8099797574463,47.69682020373946,164.43348747540372,507,730,1,1,630.8587689938412,159.8826619044617,923.3129278619199,2173.5720053361256,406.60058775920555,70.57102087856826,40.66005877592056,384.98956744060354,0,0
MSME_0014,8,84,378.55993889612563,71.63263331350626,105.52085654935397,637,793,1,1,232.8662700358664,87.21727680160167,376.8675376718869,562.1168143675725,145.0456455793197,15.044846352253364,14.504564557931971,112.66697473482216,1,1
